country,coub,sex,age_lfs,fborn,oecd,oecdb,edu_lfs,number
AUS,AGO,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,3
AUS,AGO,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,14
AUS,AGO,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,60
AUS,AGO,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,103
AUS,AGO,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,13
AUS,AGO,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,6
AUS,AGO,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,13
AUS,AGO,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,19
AUS,AGO,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,10
AUS,ALB,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,58
AUS,ALB,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,6
AUS,ALB,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,3
AUS,ALB,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,165
AUS,ALB,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,766
AUS,ALB,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,376
AUS,ALB,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,112
AUS,ALB,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,115
AUS,ALB,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,115
AUS,ALB,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,25
AUS,ALB,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,29
AUS,ALB,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,4
AUS,ALB,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,57
AUS,ALB,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,19
AUS,ALB,Female,15-24,Foreign-born,OECD member,not OECD member,Unknown,5
AUS,ALB,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,195
AUS,ALB,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,590
AUS,ALB,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,546
AUS,ALB,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,114
AUS,ALB,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,130
AUS,ALB,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,72
AUS,ALB,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,26
AUS,ALB,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,16
AUS,ARG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,21
AUS,ARG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,221
AUS,ARG,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,55
AUS,ARG,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,14
AUS,ARG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,103
AUS,ARG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,2186
AUS,ARG,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,3606
AUS,ARG,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,461
AUS,ARG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,266
AUS,ARG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,892
AUS,ARG,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,361
AUS,ARG,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,218
AUS,ARG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,24
AUS,ARG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,200
AUS,ARG,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,87
AUS,ARG,Female,15-24,Foreign-born,OECD member,not OECD member,Unknown,11
AUS,ARG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,83
AUS,ARG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,1590
AUS,ARG,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,4643
AUS,ARG,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,506
AUS,ARG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,449
AUS,ARG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,835
AUS,ARG,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,468
AUS,ARG,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,342
AUS,AUS,Male,15-24,Native-born,OECD member,OECD member,ISCED 0/1/2,156129
AUS,AUS,Male,15-24,Native-born,OECD member,OECD member,ISCED 3/4,886318
AUS,AUS,Male,15-24,Native-born,OECD member,OECD member,ISCED 5/6/7/8,97574
AUS,AUS,Male,15-24,Native-born,OECD member,OECD member,Unknown,36510
AUS,AUS,Male,25-64,Native-born,OECD member,OECD member,ISCED 0/1/2,168582
AUS,AUS,Male,25-64,Native-born,OECD member,OECD member,ISCED 3/4,2310469
AUS,AUS,Male,25-64,Native-born,OECD member,OECD member,ISCED 5/6/7/8,1320997
AUS,AUS,Male,25-64,Native-born,OECD member,OECD member,Unknown,179261
AUS,AUS,Male,65+,Native-born,OECD member,OECD member,ISCED 0/1/2,188191
AUS,AUS,Male,65+,Native-born,OECD member,OECD member,ISCED 3/4,596060
AUS,AUS,Male,65+,Native-born,OECD member,OECD member,ISCED 5/6/7/8,299008
AUS,AUS,Male,65+,Native-born,OECD member,OECD member,Unknown,106528
AUS,AUS,Female,15-24,Native-born,OECD member,OECD member,ISCED 0/1/2,132388
AUS,AUS,Female,15-24,Native-born,OECD member,OECD member,ISCED 3/4,795137
AUS,AUS,Female,15-24,Native-born,OECD member,OECD member,ISCED 5/6/7/8,162339
AUS,AUS,Female,15-24,Native-born,OECD member,OECD member,Unknown,37633
AUS,AUS,Female,25-64,Native-born,OECD member,OECD member,ISCED 0/1/2,119658
AUS,AUS,Female,25-64,Native-born,OECD member,OECD member,ISCED 3/4,1803778
AUS,AUS,Female,25-64,Native-born,OECD member,OECD member,ISCED 5/6/7/8,1946778
AUS,AUS,Female,25-64,Native-born,OECD member,OECD member,Unknown,214280
AUS,AUS,Female,65+,Native-born,OECD member,OECD member,ISCED 0/1/2,268912
AUS,AUS,Female,65+,Native-born,OECD member,OECD member,ISCED 3/4,597422
AUS,AUS,Female,65+,Native-born,OECD member,OECD member,ISCED 5/6/7/8,338814
AUS,AUS,Female,65+,Native-born,OECD member,OECD member,Unknown,183195
AUS,AUT,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,11
AUS,AUT,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,84
AUS,AUT,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,18
AUS,AUT,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,41
AUS,AUT,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,1048
AUS,AUT,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1041
AUS,AUT,Male,25-64,Foreign-born,OECD member,OECD member,Unknown,129
AUS,AUT,Male,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,490
AUS,AUT,Male,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,2820
AUS,AUT,Male,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,947
AUS,AUT,Male,65+,Foreign-born,OECD member,OECD member,Unknown,623
AUS,AUT,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,20
AUS,AUT,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,78
AUS,AUT,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,34
AUS,AUT,Female,15-24,Foreign-born,OECD member,OECD member,Unknown,8
AUS,AUT,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,66
AUS,AUT,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,791
AUS,AUT,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1490
AUS,AUT,Female,25-64,Foreign-born,OECD member,OECD member,Unknown,193
AUS,AUT,Female,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,753
AUS,AUT,Female,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,1853
AUS,AUT,Female,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,910
AUS,AUT,Female,65+,Foreign-born,OECD member,OECD member,Unknown,748
AUS,BEL,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,31
AUS,BEL,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,167
AUS,BEL,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,42
AUS,BEL,Male,15-24,Foreign-born,OECD member,OECD member,Unknown,4
AUS,BEL,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,41
AUS,BEL,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,633
AUS,BEL,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1480
AUS,BEL,Male,25-64,Foreign-born,OECD member,OECD member,Unknown,115
AUS,BEL,Male,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,69
AUS,BEL,Male,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,385
AUS,BEL,Male,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,274
AUS,BEL,Male,65+,Foreign-born,OECD member,OECD member,Unknown,119
AUS,BEL,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,25
AUS,BEL,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,163
AUS,BEL,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,57
AUS,BEL,Female,15-24,Foreign-born,OECD member,OECD member,Unknown,6
AUS,BEL,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,26
AUS,BEL,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,432
AUS,BEL,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1701
AUS,BEL,Female,25-64,Foreign-born,OECD member,OECD member,Unknown,102
AUS,BEL,Female,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,118
AUS,BEL,Female,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,408
AUS,BEL,Female,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,269
AUS,BEL,Female,65+,Foreign-born,OECD member,OECD member,Unknown,159
AUS,BGD,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,149
AUS,BGD,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,1433
AUS,BGD,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,666
AUS,BGD,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,89
AUS,BGD,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,274
AUS,BGD,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,2057
AUS,BGD,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,19282
AUS,BGD,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,822
AUS,BGD,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,8
AUS,BGD,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,154
AUS,BGD,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,907
AUS,BGD,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,74
AUS,BGD,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,144
AUS,BGD,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,1317
AUS,BGD,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,413
AUS,BGD,Female,15-24,Foreign-born,OECD member,not OECD member,Unknown,80
AUS,BGD,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,272
AUS,BGD,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,3451
AUS,BGD,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,15059
AUS,BGD,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,837
AUS,BGD,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,99
AUS,BGD,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,216
AUS,BGD,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,318
AUS,BGD,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,64
AUS,BGR,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,7
AUS,BGR,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,56
AUS,BGR,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,13
AUS,BGR,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,6
AUS,BGR,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,12
AUS,BGR,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,286
AUS,BGR,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,751
AUS,BGR,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,52
AUS,BGR,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,61
AUS,BGR,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,143
AUS,BGR,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,146
AUS,BGR,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,40
AUS,BGR,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,5
AUS,BGR,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,45
AUS,BGR,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,22
AUS,BGR,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,19
AUS,BGR,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,250
AUS,BGR,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,1173
AUS,BGR,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,54
AUS,BGR,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,59
AUS,BGR,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,121
AUS,BGR,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,189
AUS,BGR,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,49
AUS,BOL,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,4
AUS,BOL,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,26
AUS,BOL,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,9
AUS,BOL,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,5
AUS,BOL,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,99
AUS,BOL,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,170
AUS,BOL,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,26
AUS,BOL,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,3
AUS,BOL,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,41
AUS,BOL,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,32
AUS,BOL,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,9
AUS,BOL,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,5
AUS,BOL,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,20
AUS,BOL,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,16
AUS,BOL,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,99
AUS,BOL,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,268
AUS,BOL,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,30
AUS,BOL,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,9
AUS,BOL,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,37
AUS,BOL,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,44
AUS,BOL,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,19
AUS,BRA,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,78
AUS,BRA,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,906
AUS,BRA,Male,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,265
AUS,BRA,Male,15-24,Foreign-born,OECD member,not OECD member,Unknown,94
AUS,BRA,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,261
AUS,BRA,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,3532
AUS,BRA,Male,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,14052
AUS,BRA,Male,25-64,Foreign-born,OECD member,not OECD member,Unknown,1189
AUS,BRA,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,31
AUS,BRA,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,151
AUS,BRA,Male,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,174
AUS,BRA,Male,65+,Foreign-born,OECD member,not OECD member,Unknown,43
AUS,BRA,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,70
AUS,BRA,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 3/4,931
AUS,BRA,Female,15-24,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,446
AUS,BRA,Female,15-24,Foreign-born,OECD member,not OECD member,Unknown,90
AUS,BRA,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,179
AUS,BRA,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 3/4,2633
AUS,BRA,Female,25-64,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,17937
AUS,BRA,Female,25-64,Foreign-born,OECD member,not OECD member,Unknown,1222
AUS,BRA,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 0/1/2,86
AUS,BRA,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 3/4,249
AUS,BRA,Female,65+,Foreign-born,OECD member,not OECD member,ISCED 5/6/7/8,288
AUS,BRA,Female,65+,Foreign-born,OECD member,not OECD member,Unknown,96
AUS,CAN,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,185
AUS,CAN,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,1111
AUS,CAN,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,217
AUS,CAN,Male,15-24,Foreign-born,OECD member,OECD member,Unknown,31
AUS,CAN,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,99
AUS,CAN,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,4566
AUS,CAN,Male,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,10367
AUS,CAN,Male,25-64,Foreign-born,OECD member,OECD member,Unknown,686
AUS,CAN,Male,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,86
AUS,CAN,Male,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,1159
AUS,CAN,Male,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1894
AUS,CAN,Male,65+,Foreign-born,OECD member,OECD member,Unknown,272
AUS,CAN,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,160
AUS,CAN,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,1184
AUS,CAN,Female,15-24,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,460
AUS,CAN,Female,15-24,Foreign-born,OECD member,OECD member,Unknown,51
AUS,CAN,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 0/1/2,48
AUS,CAN,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 3/4,4006
AUS,CAN,Female,25-64,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,15502
AUS,CAN,Female,25-64,Foreign-born,OECD member,OECD member,Unknown,962
AUS,CAN,Female,65+,Foreign-born,OECD member,OECD member,ISCED 0/1/2,83
AUS,CAN,Female,65+,Foreign-born,OECD member,OECD member,ISCED 3/4,1054
AUS,CAN,Female,65+,Foreign-born,OECD member,OECD member,ISCED 5/6/7/8,1982
AUS,CAN,Female,65+,Foreign-born,OECD member,OECD member,Unknown,383
AUS,CHE,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 0/1/2,67
AUS,CHE,Male,15-24,Foreign-born,OECD member,OECD member,ISCED 3/4,309
